,0
0,106300.23274990142
1,166875.87221386214
2,168906.06695751057
3,185013.99496366942
4,223612.9319650669
5,165562.30439179612
6,178789.4516105602
7,157375.81896544798
8,194500.83649233248
9,119429.05313464097
10,177518.46117419392
11,97205.73047354571
12,92863.74884154841
13,146026.25398230235
14,110521.6565207207
15,369510.4972628615
16,282080.2084669871
17,301618.54997526907
18,304063.2733309991
19,430033.76648075384
20,310590.5124144239
21,219324.46595472805
22,177345.59429935753
23,160214.81865831834
24,197095.33943203292
25,199036.84182209076
26,337912.7028580573
27,235672.57340390453
28,216643.19133734438
29,251433.88330857785
30,209829.87562278696
31,79413.02154275593
32,202148.12211651774
33,317939.3330726277
34,301754.73637828557
35,245783.7023787448
36,169449.05070653633
37,180407.93138315724
38,153276.85573341255
39,148564.9778815359
40,187397.54315623766
41,148182.63684645446
42,268591.29682997963
43,244980.8194927191
44,232387.88248920595
45,182425.41989840692
46,248000.36051411732
47,190020.89313633557
48,153071.53587623997
49,142761.4158399919
50,163983.97425239556
51,183991.78870211265
52,144770.038797312
53,165070.66661343188
54,206299.26571100156
55,148821.84752787658
56,162509.6668531475
57,111162.54846306896
58,212289.41473016315
59,129924.43341216451
60,127285.26857684813
61,190658.7980341797
62,100388.08527291399
63,130304.52372509016
64,115099.44414353844
65,118812.0395352812
66,102907.67072614984
67,134242.95623484638
68,154703.55349391236
69,202704.34252644744
70,127867.87312625973
71,99203.11364142016
72,156095.83523630627
73,133500.71232965097
74,144089.32866870955
75,89211.7387887571
76,46265.357478659804
77,150854.19928771548
78,216833.788246148
79,133957.5698615915
80,133514.50259344792
81,134207.80848809634
82,172784.07067739312
83,84130.42223587142
84,123156.40029414318
85,146711.7706965523
86,138429.38053571177
87,147024.4138628548
88,124632.41236453116
89,143045.30278552932
90,112965.52051383315
91,151665.63678320165
92,164993.11918742635
93,117124.76862709828
94,151405.20944009707
95,83648.45118667862
96,134534.6884954558
97,91910.1371317102
98,87793.5048732218
99,129054.77645386713
100,144961.09832283744
101,138124.14147270474
102,116752.51148575552
103,167347.19913662114
104,145260.45426572708
105,211561.59338147883
106,69267.09175615353
107,228415.18473010635
108,124953.51551867994
109,144351.78274080457
110,98978.70890780615
111,141648.68529763122
112,209064.1171756963
113,124099.93721678267
114,220440.0161224792
115,257519.07941954304
116,152617.93801828375
117,153860.72367326982
118,135002.23695485236
119,181757.37407688668
120,165632.45800265763
121,138645.6283412889
122,272947.7221134284
123,223467.88918567615
124,151429.47591761884
125,40093.63450040895
126,108373.72701405566
127,145206.1744296587
128,103290.97534720303
129,125579.43101485273
130,94765.28092879399
131,101717.9954511015
132,134097.29428812864
133,158532.27157203856
134,105549.01665653725
135,237164.19475547664
136,192985.54165687572
137,216282.158016148
138,181245.08004855868
139,173360.26803455703
140,54800.55863742024
141,131505.91510975597
142,66245.60082911978
143,248728.11832036145
144,237226.75064911964
145,151003.49454319294
146,174910.5441855363
147,209114.25175579844
148,196941.401097358
149,151206.5206127792
150,129278.71821805018
151,177596.75903055898
152,159984.81657779688
153,101426.79803871234
154,71771.0409614022
155,59559.96271776309
156,70519.08636393196
157,125739.98897867021
158,163915.35487375388
159,148587.9439438165
160,132564.7311840086
161,149953.64229172954
162,254458.49606454937
163,210577.40945996097
164,119654.39026803027
165,175713.85526342093
166,180972.26422727806
167,272100.6756357114
168,173494.0094810412
169,348720.2187640178
170,245028.4269302427
171,248323.74688499924
172,180047.09815478584
173,184290.19728366865
174,178246.6848523519
175,157373.4703674913
176,190972.43649593208
177,194931.39692333178
178,176947.16283484615
179,252869.47042144331
180,178916.4576121329
181,255010.2167324373
182,229631.31811980958
183,237028.98063186542
184,234049.16614170608
185,163734.17471914095
186,156424.77289433818
187,116526.01239945013
188,144171.4551364083
189,115708.82239819656
190,118491.00754390747
191,100614.06636353138
192,106614.97281796271
193,150943.94956964193
194,136644.93445242435
195,136822.35796737386
196,155360.4844728442
197,154898.16760711532
198,122754.16088820623
199,153009.4691867443
200,394539.6579097905
201,356537.0525149644
202,372910.2023223322
203,424957.77129667683
204,323457.0217126339
205,302037.8394067122
206,376355.23761845136
207,350521.2790787148
208,325041.09368889936
209,353609.5403029769
210,289936.17917451944
211,392420.03233486234
